id,user,tweets,date,location,favorites,retweets
1263130852407402497,mgl_2012,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:33:57,Монгол улс Улаанбаатар хот,0,109
1263130716830748672,bolodm,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:33:25,Улаанбаатар,0,109
1263129346924937216,zulaaer,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:27:58,,0,109
1263129291585236992,UndrakhE,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:27:45,Mongolia,0,109
1263128987120709633,bolderdenei,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:26:32,"New York, USA",0,109
1263128216908300288,Javkhlan_Sukh,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:23:29,"Vienna, Austria",0,109
1263128051388346369,Suvdok,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:22:49,"UB , Mongolia.",0,109
1263127576215609345,Nomch_M,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:20:56,Mongolia,0,109
1263127470611431424,B_Munkhtselmeg,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:20:31,,0,109
1263126654542417920,zoljargalmaa,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:17:16,Mongolia,0,109
1263125962356490241,zayaevelyn,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:14:31,"Улаанбаатар, Монгол Улс",0,109
1263125544020803584,nyamkhuubanzrag,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:12:52,Mongolia,0,109
1263124740899667969,BanzragchEnkht1,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:09:40,Mongolia,0,109
1263124670116622336,Gansukh2040,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:09:23,"Sydney, New South Wales",0,109
1263124665100152832,Otgondorj,эвсэл нь зөв хүн гэж үзжээ. ард түмэн зөв гэж үнэлэх эсэхийг сонгуулиар л харах нь дээ https://t.co/slDYkY9dbp,2020-05-20 15:09:22,ulaanbaatar,1,0
1263124483872747520,Gulzgai1010,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:08:39,,0,109
